tree_number	ui	name
B03	D001419	Bacteria
B03.026	D061271	Acidobacteria
B03.054	D059827	Agricultural Inoculants
B03.110	D001295	Atypical Bacterial Forms
B03.110.422	D007740	L Forms
B03.110.761	D013104	Spheroplasts
B03.120	D001420	Bacteria, Aerobic
B03.130	D001421	Bacteria, Anaerobic
B03.135	D000072280	Bacteria, Thermoduric
B03.250	D019414	Chlorobi
B03.250.140	D041883	Chlorobium
B03.275	D041862	Chloroflexi
B03.275.150	D041861	Chloroflexus
B03.275.575	D000082942	Dehalococcoides
B03.280	D000458	Cyanobacteria
B03.280.100	D017033	Anabaena
B03.280.100.150	D046868	Anabaena cylindrica
B03.280.100.900	D046870	Anabaena variabilis
B03.280.110	D046890	Aphanizomenon
B03.280.200	D046889	Cyanothece
B03.280.210	D046891	Cylindrospermopsis
B03.280.283	D046869	Dolichospermum flos-aquae
B03.280.355	D000083582	Lyngbya
B03.280.500	D046931	Microcystis
B03.280.550	D046932	Nodularia
B03.280.575	D046937	Nostoc
B03.280.575.150	D050501	Nostoc commune
B03.280.575.500	D050502	Nostoc muscorum
B03.280.612	D054300	Oscillatoria
B03.280.622	D000086282	Pannus
B03.280.631	D000084242	Phormidium
B03.280.641	D000086302	Planktothrix
B03.280.650	D046938	Plectonema
B03.280.697	D053545	Spirulina
B03.280.745	D046940	Synechococcus
B03.280.750	D046939	Synechocystis
B03.280.813	D000086325	Thermosynechococcus
B03.280.875	D000072359	Trichodesmium
B03.300	D004725	Endospore-Forming Bacteria
B03.300.390	D016936	Gram-Positive Endospore-Forming Bacteria
B03.300.390.400	D016937	Gram-Positive Endospore-Forming Rods
B03.300.390.400.158	D001406	Bacillaceae
B03.300.390.400.158.108	D058677	Anoxybacillus
B03.300.390.400.158.218	D001407	Bacillus
B03.300.390.400.158.218.076	D000069977	Bacillus amyloliquefaciens
B03.300.390.400.158.218.151	D001408	Bacillus anthracis
B03.300.390.400.158.218.252	D001409	Bacillus cereus
B03.300.390.400.158.218.283	D000070019	Bacillus clausii
B03.300.390.400.158.218.314	D000070000	Bacillus coagulans
B03.300.390.400.158.218.345	D000070098	Bacillus firmus
B03.300.390.400.158.218.376	D000069976	Bacillus licheniformis
B03.300.390.400.158.218.500	D001410	Bacillus megaterium
B03.300.390.400.158.218.613	D000069979	Bacillus pumilus
B03.300.390.400.158.218.725	D001412	Bacillus subtilis
B03.300.390.400.158.218.800	D001413	Bacillus thuringiensis
B03.300.390.400.158.400	D056506	Geobacillus
B03.300.390.400.158.400.400	D001411	Geobacillus stearothermophilus
B03.300.390.400.158.600	D058678	Halobacillus
B03.300.390.400.158.900	D058679	Virgibacillus
B03.300.390.400.160	D058675	Brevibacillus
B03.300.390.400.200	D003013	Clostridium
B03.300.390.400.200.025	D046969	Clostridium acetobutylicum
B03.300.390.400.200.100	D046970	Clostridium beijerinckii
B03.300.390.400.200.130	D046971	Clostridium bifermentans
B03.300.390.400.200.160	D003014	Clostridium botulinum
B03.300.390.400.200.160.050	D047013	Clostridium botulinum type A
B03.300.390.400.200.160.100	D047014	Clostridium botulinum type B
B03.300.390.400.200.160.150	D047968	Clostridium botulinum type C
B03.300.390.400.200.160.200	D047969	Clostridium botulinum type D
B03.300.390.400.200.160.250	D047970	Clostridium botulinum type E
B03.300.390.400.200.160.300	D047971	Clostridium botulinum type F
B03.300.390.400.200.160.350	D048568	Clostridium botulinum type G
B03.300.390.400.200.180	D046972	Clostridium butyricum
B03.300.390.400.200.200	D046973	Clostridium cellulolyticum
B03.300.390.400.200.205	D046974	Clostridium cellulovorans
B03.300.390.400.200.215	D046975	Clostridium chauvoei
B03.300.390.400.200.412	D047009	Clostridium histolyticum
B03.300.390.400.200.493	D047010	Clostridium kluyveri
B03.300.390.400.200.575	D003016	Clostridium perfringens
B03.300.390.400.200.690	D052557	Clostridium septicum
B03.300.390.400.200.700	D047989	Clostridium sordellii
B03.300.390.400.200.710	D047991	Clostridium sticklandii
B03.300.390.400.200.713	D048009	Clostridium symbiosum
B03.300.390.400.200.722	D048010	Clostridium tertium
B03.300.390.400.200.725	D003017	Clostridium tetani
B03.300.390.400.200.740	D048012	Clostridium tetanomorphum
B03.300.390.400.200.770	D048013	Clostridium thermocellum
B03.300.390.400.200.800	D048014	Clostridium tyrobutyricum
B03.300.390.400.500	D008848	Micromonosporaceae
B03.300.390.400.500.250	D000079584	Actinoplanes
B03.300.390.400.500.500	D008847	Micromonospora
B03.300.390.400.525	D058845	Moorella
B03.300.390.400.645	D056507	Paenibacillus
B03.300.390.400.645.500	D000070059	Paenibacillus larvae
B03.300.390.400.645.750	D000070057	Paenibacillus polymyxa
B03.300.390.400.790	D016930	Saccharopolyspora
B03.300.390.400.800	D040141	Staphylococcaceae
B03.300.390.400.800.750	D013210	Staphylococcus
B03.300.390.400.800.750.100	D013211	Staphylococcus aureus
B03.300.390.400.800.750.100.500	D055624	Methicillin-Resistant Staphylococcus aureus
B03.300.390.400.800.750.100.750	D000083123	Vancomycin-Resistant Staphylococcus aureus
B03.300.390.400.800.750.222	D000074039	Staphylococcus capitis
B03.300.390.400.800.750.343	D013212	Staphylococcus epidermidis
B03.300.390.400.800.750.400	D041162	Staphylococcus haemolyticus
B03.300.390.400.800.750.425	D041181	Staphylococcus hominis
B03.300.390.400.800.750.435	D057788	Staphylococcus hyicus
B03.300.390.400.800.750.445	D057789	Staphylococcus intermedius
B03.300.390.400.800.750.500	D057787	Staphylococcus lugdunensis
B03.300.390.400.800.750.750	D057790	Staphylococcus saprophyticus
B03.300.390.400.810	D013306	Streptomycetaceae
B03.300.390.400.810.768	D013302	Streptomyces
B03.300.390.400.810.768.100	D013303	Streptomyces antibioticus
B03.300.390.400.810.768.125	D013304	Streptomyces aureofaciens
